login_name,login_type,login_create_date,last_active_date,server_roles,database,mapped_user_name,user_type,default_schema,db_roles,explicit_read,explicit_write,explicit_exec,explicit_admin,access_level,grant_counts,deny_counts
svc_etl_0,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_0,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_1,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_1,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_2,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_2,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_3,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_3,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_4,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_4,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_5,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_5,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_6,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_6,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_7,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_7,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_8,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_8,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_9,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_9,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_10,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_10,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_11,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_11,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_12,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_12,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_13,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_13,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_14,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_14,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_15,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_15,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_16,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_16,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_17,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_17,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_18,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_18,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_19,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_19,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_20,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_20,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_21,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_21,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_22,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_22,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_23,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_23,USER,dbo,db_datareader,False,False,False,False,Admin,,
svc_etl_24,SQL_LOGIN,2024-01-01 00:00:00,2026-04-15 00:00:00,,appdb (sql01),svc_etl_24,USER,dbo,db_datareader,False,False,False,False,Admin,,
old_admin_25,WINDOWS_LOGIN,2024-01-01 00:00:00,2025-12-26 00:00:00,,appdb (sql01),old_admin_25,USER,dbo,db_datareader,False,False,False,False,Admin,,
old_admin_26,WINDOWS_LOGIN,2024-01-01 00:00:00,2025-12-26 00:00:00,,appdb (sql01),old_admin_26,USER,dbo,db_datareader,False,False,False,False,Admin,,
old_admin_27,WINDOWS_LOGIN,2024-01-01 00:00:00,2025-12-26 00:00:00,,appdb (sql01),old_admin_27,USER,dbo,db_datareader,False,False,False,False,Admin,,
old_admin_28,WINDOWS_LOGIN,2024-01-01 00:00:00,2025-12-26 00:00:00,,appdb (sql01),old_admin_28,USER,dbo,db_datareader,False,False,False,False,Admin,,
